name,series,code,mer,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
Scotia Essentials Balanced Portfolio,BNS2204,Series A,1.69,9.15,11.83,7.17,7.11,11.57,4.09,6.44,5.65,3.88,
Scotia Essentials Balanced Portfolio,BNS2804,Series T,1.66,,,,,,,,,,
Scotia Essentials Growth Portfolio,BNS2207,Series A,1.93,10.56,12.91,11.88,7.82,14.21,5.84,8.40,5.41,7.10,
Scotia Essentials Growth Portfolio,BNS2807,Series T,1.89,,,,,,,,,,
Scotia Essentials Income Portfolio,BNS2201,Series A,1.46,8.09,11.65,3.24,6.91,9.14,2.67,5.08,5.38,1.69,
Scotia Essentials Income Portfolio,BNS2801,Series T,1.43,,,,,,,,,,
Scotia Essentials Maximum Growth,BNS2210,Series A,2.04,11.84,13.88,16.19,9.36,17.03,,,,,
Scotia Essentials Maximum Growth,BNS2810,Series T,2.05,,,,,,,,,,
Scotia Selected Balanced Growth Portfolio,BNS341,Series A,2.00,9.41,10.78,7.57,9.55,12.84,3.17,7.61,4.27,4.94,9.04
Scotia Selected Balanced Growth Portfolio,BNS441,Series T,1.99,9.42,10.78,7.59,9.59,12.87,,,,,
Scotia Selected Balanced Income Portfolio,BNS340,Series A,1.89,7.87,10.04,3.66,6.44,9.46,1.40,4.46,3.07,3.84,8.50
Scotia Selected Balanced Income Portfolio,BNS440,Series T,1.89,7.89,10.03,3.67,6.43,9.47,,,,,
Scotia Selected Growth Portfolio,BNS342,Series A,2.10,11.53,12.05,10.87,12.97,15.83,5.02,10.44,4.90,6.04,9.81
Scotia Selected Growth Portfolio,BNS442,Series T,2.10,11.60,12.03,10.94,12.97,16.85,,,,,
Scotia Selected Income Portfolio,BNS338,Series A,1.77,7.33,10.26,1.62,6.19,8.06,0.66,3.34,2.51,2.87,8.40
Scotia Selected Income Portfolio,BNS438,Series T,1.77,7.34,10.24,1.64,6.17,8.05,,,,,
Scotia Selected Maximum Growth Portfolio,BNS344,Series A,2.23,12.55,13.32,13.63,16.88,18.16,6.56,12.77,3.97,7.25,9.75
Scotia Selected Maximum Growth Portfolio,BNS444,Series T,2.20,12.60,13.29,13.75,17.07,19.59,,,,,
Scotia INNOVA Balanced Growth Portfolio,BNS332,Series A,2.10,9.10,10.53,9.22,4.32,10.73,3.13,5.92,3.86,4.80,8.81
Scotia INNOVA Balanced Growth Portfolio,BNS432,Series T,2.10,9.10,10.53,9.22,4.33,10.73,3.12,5.92,3.87,4.81,8.81
Scotia INNOVA Balanced Growth Portfolio Class,BNS1332,Series A,2.17,9.55,10.91,10.20,4.37,11.46,3.29,6.03,4.22,5.29,9.72
Scotia INNOVA Balanced Growth Portfolio Class,BNS1432,Series T,2.18,9.54,10.93,10.18,4.36,11.46,3.28,6.02,4.23,5.29,
Scotia INNOVA Balanced Income Portfolio,BNS331,Series A,1.98,7.58,9.55,4.34,4.53,8.04,1.66,3.89,3.47,2.85,7.60
Scotia INNOVA Balanced Income Portfolio,BNS431,Series T,1.98,7.58,9.54,4.33,4.53,8.04,1.66,3.89,3.46,2.84,7.59
Scotia INNOVA Balanced Income Portfolio Class,BNS1331,Series A,2.06,7.94,9.77,5.46,4.94,8.74,2.00,4.82,3.69,2.95,8.43
Scotia INNOVA Balanced Income Portfolio Class,BNS1431,Series T,2.07,7.92,9.78,5.44,4.93,8.73,2.00,4.82,3.68,2.94,
Scotia INNOVA Growth Portfolio,BNS333,Series A,2.20,10.20,11.00,12.53,4.89,12.89,4.39,7.13,4.18,5.98,9.40
Scotia INNOVA Growth Portfolio,BNS433,Series T,2.23,10.17,11.01,12.51,4.89,12.87,4.32,7.34,,5.98,
Scotia INNOVA Growth Portfolio Class,BNS1333,Series A,2.28,10.67,11.53,12.95,5.24,13.82,4.39,7.39,4.18,7.15,10.55
Scotia INNOVA Growth Portfolio Class,BNS1433,Series T,2.31,10.63,11.56,12.93,5.23,13.81,4.41,7.37,4.15,7.19,
Scotia INNOVA Income Portfolio,BNS330,Series A,1.87,6.63,9.58,1.47,4.27,6.03,0.78,2.78,2.98,1.87,6.97
Scotia INNOVA Income Portfolio,BNS430,Series T,1.86,6.64,9.57,1.48,4.28,6.04,0.77,2.79,2.99,1.87,6.98
Scotia INNOVA Income Portfolio Class,BNS1330,Series A,1.95,7.05,9.60,2.35,4.24,6.53,1.20,3.94,2.85,2.15,7.77
Scotia INNOVA Income Portfolio Class,BNS1430,Series T,1.95,7.05,9.59,2.36,4.25,6.52,1.19,3.95,2.84,2.16,
Scotia INNOVA Maximum Growth Portfolio,BNS334,Series A,2.32,11.28,11.55,15.30,5.26,14.95,5.26,8.14,4.39,7.76,9.61
Scotia INNOVA Maximum Growth Portfolio,BNS434,Series T,2.31,11.29,11.43,15.29,5.29,15.01,5.18,8.17,,,
Scotia INNOVA Maximum Growth Portfolio Class,BNS1334,Series A,2.40,11.95,12.01,16.45,5.55,16.19,5.67,9.10,4.05,9.10,11.22
Scotia INNOVA Maximum Growth Portfolio Class,BNS1434,Series T,2.41,11.94,12.02,16.41,5.51,16.21,5.66,9.08,4.15,9.18,
Scotia Partners Balanced Growth Portfolio,BNS347,Series A,2.26,9.25,12.90,8.25,7.96,12.88,2.54,7.34,5.19,3.45,8.72
Scotia Partners Balanced Growth Portfolio,BNS447,Series T,2.24,9.27,12.90,8.27,7.99,12.91,2.54,7.32,,,
Scotia Partners Balanced Growth Portfolio Class,BNS1347,Series A,2.32,9.23,13.03,8.15,7.83,12.84,2.56,7.26,,,
Scotia Partners Balanced Growth Portfolio Class,BNS1447,Series T,2.34,9.16,13.04,8.15,7.80,12.84,2.61,7.25,,,
Scotia Partners Balanced Income Portfolio,BNS346,Series A,2.16,7.57,12.19,3.67,6.96,9.01,1.41,4.34,4.32,2.95,7.74
Scotia Partners Balanced Income Portfolio,BNS446,Series T,2.17,7.56,12.19,3.72,6.97,9.00,1.44,4.30,,,
Scotia Partners Balanced Income Portfolio Class,BNS1346,Series A,2.21,7.52,12.19,3.33,7.21,8.94,1.45,4.29,,,
Scotia Partners Balanced Income Portfolio Class,BNS1446,Series T,2.23,7.50,12.20,3.32,7.17,8.93,1.49,4.20,,,
Scotia Partners Growth Portfolio,BNS348,Series A,2.41,10.27,14.00,10.34,8.48,14.91,3.87,9.52,,,
Scotia Partners Growth Portfolio,BNS448,Series T,2.46,10.24,14.05,10.33,8.45,14.87,3.83,9.46,,,
Scotia Partners Income Portfolio,BNS313,Series A,2.06,6.96,12.28,1.82,6.53,8.02,1.22,3.68,3.77,2.75,7.23
Scotia Partners Income Portfolio,BNS413,Series T,2.05,6.97,12.26,1.90,6.56,8.03,1.19,3.71,,,
Scotia Partners Maximum Growth Portfolio,BNS349,Series A,2.47,11.03,14.16,13.48,8.80,16.93,4.85,10.92,6.18,3.89,9.72
Scotia Partners Maximum Growth Portfolio,BNS449,Series T,2.53,10.96,14.21,13.50,8.82,17.03,4.77,10.88,,,
Scotia Partners Maximum Growth Portfolio Class,BNS1349,Series A,2.54,10.91,14.21,13.26,8.65,16.90,5.00,10.73,,,
Scotia Partners Maximum Growth Portfolio Class,BNS1449,Series T,2.49,10.94,14.16,13.31,8.75,16.92,4.88,10.69,,,
Scotia Partners Growth Portfolio Class,BNS1348,Series A,2.41,10.27,14.00,10.34,8.48,14.91,3.87,9.52,,,
Scotia Partners Growth Portfolio Class,BNS1448,Series T,2.46,10.24,14.05,10.33,8.45,14.87,3.83,9.46,,,